"pclass","sex","age","sibsp","parch","fare","cabin","embarked","survived"
"1","f",29,0,0,211,"B","South","surv"
"1","m",0,1,2,151,"C","South","surv"
"1","f",2,1,2,151,"C","South","died"
"1","m",30,1,2,151,"C","South","died"
"1","f",25,1,2,151,"C","South","died"
"1","m",48,0,0,26,"E","South","surv"
"1","f",63,1,0,77,"D","South","surv"
"1","m",39,0,0,0,"A","South","died"
"1","f",53,2,0,51,"C","South","surv"
"1","m",71,0,0,49,"X","Cherb","died"
"1","m",47,1,0,227,"C","Cherb","died"
"1","f",18,1,0,227,"C","Cherb","surv"
"1","f",24,0,0,69,"B","Cherb","surv"
"1","f",26,0,0,78,"X","South","surv"
"1","m",80,0,0,30,"A","South","surv"
"1","m",42,0,0,25,"X","South","died"
"1","m",24,0,1,247,"B","Cherb","died"
"1","f",50,0,1,247,"B","Cherb","surv"
"1","f",32,0,0,76,"D","Cherb","surv"
"1","m",36,0,0,75,"C","Cherb","died"
"1","m",37,1,1,52,"D","South","surv"
"1","f",47,1,1,52,"D","South","surv"
"1","m",26,0,0,30,"C","Cherb","surv"
"1","f",42,0,0,227,"X","Cherb","surv"
"1","f",29,0,0,221,"C","South","surv"
"1","m",25,0,0,26,"X","Cherb","died"
"1","m",25,1,0,91,"B","Cherb","surv"
"1","f",19,1,0,91,"B","Cherb","surv"
"1","f",35,0,0,135,"C","South","surv"
"1","m",28,0,0,26,"C","South","surv"
"1","m",45,0,0,35,"T","South","died"
"1","m",40,0,0,31,"A","Cherb","surv"
"1","f",30,0,0,164,"C","South","surv"
"1","f",58,0,0,26,"C","South","surv"
"1","m",42,0,0,26,"D","South","died"
"1","f",45,0,0,262,"X","Cherb","surv"
"1","f",22,0,1,55,"E","South","surv"
"1","m",61,0,0,26,"X","South","surv"
"1","m",41,0,0,30,"A","South","died"
"1","m",48,0,0,50,"B","Cherb","died"
"1","m",64,0,0,39,"X","Cherb","died"
"1","f",44,0,0,27,"B","Cherb","surv"
"1","f",59,2,0,51,"C","South","surv"
"1","f",60,0,0,76,"D","Cherb","surv"
"1","f",41,0,0,134,"E","Cherb","surv"
"1","m",45,0,0,26,"B","South","died"
"1","m",22,0,0,31,"X","South","died"
"1","m",42,0,0,26,"E","South","surv"
"1","f",53,0,0,27,"X","Cherb","surv"
"1","m",36,0,1,512,"B","Cherb","surv"
"1","f",58,0,1,512,"B","Cherb","surv"
"1","m",33,0,0,5,"B","South","died"
"1","m",28,0,0,47,"X","South","died"
"1","m",17,0,0,47,"X","South","died"
"1","m",11,1,2,120,"B","South","surv"
"1","f",14,1,2,120,"B","South","surv"
"1","m",36,1,2,120,"B","South","surv"
"1","f",36,1,2,120,"B","South","surv"
"1","m",49,0,0,26,"X","South","died"
"1","f",33,0,0,27,"X","Cherb","surv"
"1","m",36,1,0,78,"C","South","died"
"1","f",76,1,0,78,"C","South","surv"
"1","m",46,1,0,61,"E","South","died"
"1","f",47,1,0,61,"E","South","surv"
"1","m",27,1,0,53,"E","South","surv"
"1","f",33,1,0,53,"E","South","surv"
"1","f",36,0,0,262,"B","Cherb","surv"
"1","f",30,0,0,86,"B","South","surv"
"1","m",45,0,0,29,"A","Cherb","surv"
"1","f",39,0,1,55,"E","South","surv"
"1","m",45,0,0,0,"X","South","died"
"1","m",27,1,0,136,"C","Cherb","died"
"1","f",26,1,0,136,"C","Cherb","surv"
"1","f",22,0,0,151,"X","South","surv"
"1","m",36,0,0,52,"A","South","died"
"1","m",47,0,0,25,"E","South","died"
"1","f",39,1,1,83,"E","Cherb","surv"
"1","m",37,1,1,83,"E","Cherb","died"
"1","f",64,0,2,83,"E","Cherb","surv"
"1","f",55,2,0,25,"C","South","surv"
"1","m",23,0,0,26,"X","South","died"
"1","m",70,1,1,71,"B","South","died"
"1","f",36,0,2,71,"B","South","surv"
"1","f",64,1,1,26,"B","South","surv"
"1","m",39,1,0,71,"C","Cherb","died"
"1","f",38,1,0,71,"C","Cherb","surv"
"1","m",51,0,0,26,"E","South","surv"
"1","m",27,0,0,30,"X","South","surv"
"1","f",33,0,0,151,"X","South","surv"
"1","m",31,1,0,52,"B","South","died"
"1","f",27,1,2,52,"B","South","surv"
"1","m",31,1,0,57,"B","South","surv"
"1","f",17,1,0,57,"B","South","surv"
"1","m",53,1,1,81,"A","South","surv"
"1","m",4,0,2,81,"A","South","surv"
"1","f",54,1,1,81,"A","South","surv"
"1","m",50,1,0,106,"C","Cherb","died"
"1","f",27,1,1,247,"B","Cherb","surv"
"1","f",48,1,0,106,"C","Cherb","surv"
"1","f",48,1,0,39,"A","Cherb","surv"
"1","m",49,1,0,56,"A","Cherb","surv"
"1","m",39,0,0,29,"A","Cherb","died"
"1","f",23,0,1,83,"C","Cherb","surv"
"1","f",38,0,0,227,"C","Cherb","surv"
"1","f",54,1,0,78,"D","Cherb","surv"
"1","f",36,0,0,31,"A","Cherb","died"
"1","m",58,0,0,221,"C","South","died"
"1","f",51,0,0,31,"X","South","surv"
"1","f",35,0,0,110,"X","Cherb","surv"
"1","m",36,0,0,26,"E","South","surv"
"1","m",30,0,0,27,"C","Cherb","died"
"1","f",24,3,2,263,"C","South","surv"
"1","f",28,3,2,263,"C","South","surv"
"1","f",23,3,2,263,"C","South","surv"
"1","m",19,3,2,263,"C","South","died"
"1","m",64,1,4,263,"C","South","died"
"1","f",60,1,4,263,"C","South","surv"
"1","f",30,0,0,56,"E","Cherb","surv"
"1","m",28,0,0,26,"D","South","died"
"1","m",50,2,0,133,"X","South","surv"
"1","m",43,1,0,27,"D","Cherb","surv"
"1","f",24,1,0,133,"X","South","surv"
"1","f",22,0,2,49,"B","Cherb","surv"
"1","m",60,1,1,79,"B","Cherb","surv"
"1","f",48,1,1,79,"B","Cherb","surv"
"1","m",19,0,0,0,"B","South","died"
"1","m",37,1,0,53,"C","South","died"
"1","f",35,1,0,53,"C","South","surv"
"1","m",47,0,0,38,"E","South","died"
"1","f",35,0,0,211,"C","Cherb","surv"
"1","f",22,0,1,59,"X","Cherb","surv"
"1","f",45,0,1,59,"X","Cherb","surv"
"1","m",24,0,0,79,"B","Cherb","died"
"1","m",49,1,0,89,"C","Cherb","surv"
"1","f",58,1,0,89,"C","Cherb","surv"
"1","m",71,0,0,34,"A","Cherb","died"
"1","m",53,0,0,28,"C","Cherb","surv"
"1","f",19,0,0,30,"B","South","surv"
"1","m",38,0,1,153,"C","South","died"
"1","f",58,0,1,153,"C","South","surv"
"1","m",23,0,1,63,"D","Cherb","surv"
"1","f",45,0,1,63,"D","Cherb","surv"
"1","m",46,0,0,79,"B","Cherb","died"
"1","m",25,1,0,55,"E","Cherb","surv"
"1","f",25,1,0,55,"E","Cherb","surv"
"1","m",48,1,0,76,"D","Cherb","surv"
"1","f",49,1,0,76,"D","Cherb","surv"
"1","m",25,0,0,42,"X","South","died"
"1","m",45,1,0,83,"C","South","died"
"1","f",35,1,0,83,"C","South","surv"
"1","m",40,0,0,0,"B","South","died"
"1","m",27,0,0,76,"D","Cherb","surv"
"1","m",21,0,0,30,"D","South","surv"
"1","f",24,0,0,83,"C","Cherb","surv"
"1","m",55,1,1,93,"B","South","died"
"1","f",52,1,1,93,"B","South","surv"
"1","m",42,0,0,42,"B","South","died"
"1","m",37,0,0,51,"E","South","died"
"1","m",55,0,0,50,"C","South","died"
"1","f",16,0,1,57,"B","Cherb","surv"
"1","f",44,0,1,57,"B","Cherb","surv"
"1","f",51,1,0,77,"D","South","surv"
"1","m",42,1,0,52,"X","South","died"
"1","f",35,1,0,52,"X","South","surv"
"1","m",35,0,0,26,"X","Cherb","surv"
"1","m",38,1,0,90,"C","South","surv"
"1","m",44,0,0,30,"X","Cherb","died"
"1","f",35,1,0,90,"C","South","surv"
"1","f",38,0,0,80,"B","Unknown","surv"
"1","f",50,0,0,28,"C","Cherb","died"
"1","m",49,0,0,0,"B","South","surv"
"1","m",46,0,0,26,"X","South","died"
"1","m",50,0,0,26,"E","South","died"
"1","m",32,0,0,211,"C","Cherb","died"
"1","m",58,0,0,29,"B","Cherb","died"
"1","m",41,1,0,51,"D","South","died"
"1","f",49,1,0,51,"D","South","surv"
"1","m",42,1,0,52,"D","South","surv"
"1","f",45,1,0,52,"D","South","surv"
"1","m",51,0,0,26,"C","South","died"
"1","f",39,0,0,211,"X","South","surv"
"1","f",49,0,0,25,"D","South","surv"
"1","f",30,0,0,106,"X","Cherb","surv"
"1","m",35,0,0,512,"B","Cherb","surv"
"1","m",64,0,0,27,"X","Cherb","died"
"1","m",42,0,0,26,"X","South","died"
"1","f",55,0,0,27,"X","Cherb","surv"
"1","f",16,0,1,39,"D","South","surv"
"1","f",51,0,1,39,"D","South","surv"
"1","m",29,0,0,30,"D","South","died"
"1","f",21,0,0,77,"D","South","surv"
"1","m",30,0,0,45,"X","South","died"
